ID;Year_of_Birth;Highest_Qualification;Marital_Status;Income;Kids_home;Teen_home;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complains;No._WebPurchases;No._CatalogPurchases;No._StorePurchases;Revenue
5524;1957;Graduation;Single;58138;0;0;0;0;0;0;0;0;8;10;4;1617
2174;1954;Graduation;Single;46344;1;1;0;0;0;0;0;0;1;1;2;27
4141;1965;Graduation;Together;71613;0;0;0;0;0;0;0;0;8;2;10;776
6182;1984;Graduation;Together;26646;1;0;0;0;0;0;0;0;2;0;4;53
5324;1981;PhD;Married;58293;1;0;0;0;0;0;0;0;5;3;6;422
7446;1967;Master;Together;62513;0;1;0;0;0;0;0;0;6;4;10;716
965;1971;Graduation;Divorced;55635;0;1;0;0;0;0;0;0;7;3;7;590
6177;1985;PhD;Married;33454;1;0;0;0;0;0;0;0;4;0;4;169
4855;1974;PhD;Together;30351;1;0;0;0;0;0;0;0;3;0;2;46
5899;1950;PhD;Together;5648;1;1;1;0;0;0;0;0;1;0;0;49
1994;1983;Graduation;Married;;1;0;0;0;0;0;0;0;1;0;2;19
387;1976;Basic;Married;7500;0;0;0;0;0;0;0;0;2;0;3;61
2125;1959;Graduation;Divorced;63033;0;0;0;0;0;0;0;0;3;4;8;1102
8180;1952;Master;Divorced;59354;1;1;0;0;0;0;0;0;6;1;5;310
2569;1987;Graduation;Married;17323;0;0;0;0;0;0;0;0;1;0;3;46
2114;1946;PhD;Single;82800;0;0;0;0;1;1;0;0;7;6;12;1315
9736;1980;Graduation;Married;41850;1;1;0;0;0;0;0;0;3;0;3;96
4939;1946;Graduation;Together;37760;0;0;0;0;0;0;0;0;4;1;6;317
6565;1949;Master;Married;76995;0;1;0;0;0;1;0;0;11;4;9;1782
2278;1985;2n Cycle;Single;33812;1;0;0;0;0;0;0;0;2;1;3;133
9360;1982;Graduation;Married;37040;0;0;0;0;0;0;0;0;4;2;5;316
5376;1979;Graduation;Married;2447;1;0;0;0;0;0;0;0;0;28;0;1730
1993;1949;PhD;Married;58607;0;1;0;1;0;0;0;0;2;3;9;972
4047;1954;PhD;Married;65324;0;1;0;0;0;0;0;0;6;2;9;544
1409;1951;Graduation;Together;40689;0;1;0;0;0;0;0;0;7;1;5;444
7892;1969;Graduation;Single;18589;0;0;0;0;0;0;0;0;2;1;3;75
2404;1976;Graduation;Married;53359;1;1;0;0;0;0;0;0;5;1;4;257
5255;1986;Graduation;Single;;1;0;0;0;0;0;0;0;27;0;0;637
9422;1989;Graduation;Married;38360;1;0;0;0;0;0;0;0;2;1;4;131
1966;1965;PhD;Married;84618;0;0;0;0;1;0;0;0;6;9;10;1672
6864;1989;Master;Divorced;10979;0;0;0;0;0;0;0;0;3;0;3;30
3033;1963;Master;Together;38620;0;0;0;0;0;0;0;0;2;5;3;318
5710;1970;Graduation;Together;40548;0;1;0;1;0;0;0;0;2;1;4;120
7373;1952;PhD;Divorced;46610;0;2;0;0;0;0;0;0;4;1;6;302
8755;1946;Master;Married;68657;0;0;0;0;0;0;0;0;3;5;9;1196
10738;1951;Master;Single;49389;1;1;0;0;0;0;0;0;2;0;3;65
4339;1970;PhD;Married;67353;0;1;0;0;0;0;0;0;5;6;12;913
10755;1976;2n Cycle;Married;23718;1;0;0;0;0;0;0;0;3;1;2;81
8595;1973;Graduation;Widow;42429;0;1;0;0;0;0;0;0;1;1;3;67
2968;1943;PhD;Divorced;48948;0;0;1;0;0;0;0;0;7;10;5;902
8601;1980;Graduation;Married;80011;0;1;0;0;0;0;0;0;8;6;5;1395
503;1985;Master;Married;20559;1;0;0;0;0;0;0;0;2;0;3;53
8430;1957;Graduation;Together;21994;0;1;0;0;0;0;0;0;0;0;3;22
7281;1959;PhD;Single;;0;0;0;0;0;0;0;0;1;3;4;186
2139;1975;Master;Married;7500;1;0;0;0;0;0;0;0;2;0;3;31
1371;1976;Graduation;Single;79941;0;0;0;0;0;0;0;0;2;4;9;984
9909;1996;2n Cycle;Married;7500;0;0;0;0;0;0;0;0;3;1;3;122
